transaction_id,project_id,supplier_id,material_id,worker_id,equipment_id,po_number,po_date,expected_delivery_date,actual_delivery_date,delivery_delay_days,quantity,material_cost,labor_days,labor_cost,equipment_usage_days,fuel_cost,equipment_cost,transportation_cost,rework_cost,total_transaction_cost,po_status,transaction_status,quality_issue_flag,downtime_hours,utilization_flag
26,10050,30045,20045,40141,5040,PO700026,04/02/2027,05/11/2026,06/08/2025,16,38,212420,9,42939,5,34459,57885,1612,14422,363737,Open,Completed,Yes,5,Optimal
27,10033,30025,20178,40134,5025,PO700027,04/05/2026,05/09/2025,06/09/2024,19,190,294120,2,5908,18,22363,72198,23358,16985,434932,Partial,Pending,Yes,17,Optimal
28,10034,30069,20111,40341,5021,PO700028,09/12/2023,10/05/2023,10/11/2023,6,75,176700,1,9661,4,30633,45272,19406,913,282585,Open,Pending,No,19,Optimal
29,10024,30057,20108,40158,5019,PO700029,12/10/2024,01/08/2025,01/04/2026,8,120,2206560,9,76536,18,34276,194976,9115,22911,2544374,Partial,Pending,Yes,14,Optimal
30,10048,30022,20140,40408,5043,PO700030,03/02/2024,03/05/2026,04/01/2024,3,105,2032485,8,67000,11,44984,46068,8885,14035,2213457,Open,Completed,No,3,Optimal
31,10026,30087,20020,40013,5038,PO700031,08/08/2026,08/02/2027,09/05/2026,22,169,220207,11,91168,12,17587,64104,29928,4497,427491,Closed,Completed,Yes,12,Underutilized
32,10031,30003,20169,40007,5021,PO700032,06/04/2024,07/07/2023,07/04/2025,21,62,928574,3,19062,14,27464,160258,12112,13804,1161274,Open,Pending,No,2,Underutilized
33,10010,30014,20099,40409,5007,PO700033,01/08/2024,01/02/2025,02/05/2023,10,146,3097682,8,32832,15,2185,217800,13594,10862,3374955,Partial,Pending,Yes,3,Optimal
34,10040,30038,20129,40213,5026,PO700034,09/10/2026,10/03/2025,10/06/2025,3,26,231140,5,49535,9,12898,32832,9861,24765,361031,Open,Pending,No,12,Optimal
35,10008,30068,20079,40145,5050,PO700035,07/03/2024,07/07/2026,08/04/2025,16,151,434880,8,54024,11,19288,49115,2885,22551,582743,Open,Pending,Yes,8,Optimal
36,10020,30032,20185,40229,5037,PO700036,10/11/2024,10/04/2025,10/06/2025,2,71,1416308,2,9180,20,5366,132860,9665,3987,1577366,Closed,Completed,No,17,Underutilized
37,10029,30007,20011,40489,5013,PO700037,08/06/2025,08/12/2026,09/01/2025,8,164,3481064,3,20664,2,47500,23264,8813,3586,3584891,Open,Pending,Yes,5,Optimal
38,10019,30044,20106,40231,5025,PO700038,08/12/2025,09/06/2025,09/03/2026,9,165,1468995,5,12650,17,20002,108324,15604,16386,1641961,Partial,Completed,No,11,Optimal
39,10044,30083,20067,40026,5037,PO700039,09/02/2024,10/09/2023,10/10/2023,1,8,32624,1,6794,17,13416,204476,17850,15556,290716,Open,Pending,Yes,21,Underutilized
40,10020,30005,20160,40382,5049,PO700040,11/03/2024,11/08/2024,11/11/2025,15,144,1208160,14,37506,13,21170,146913,23535,7051,1444335,Open,Pending,Yes,22,Optimal
41,10034,30039,20154,40326,5034,PO700041,02/07/2025,02/04/2026,03/10/2024,11,18,100890,14,77462,5,5634,16165,21494,24277,245922,Closed,Pending,Yes,1,Optimal
42,10027,30010,20014,40401,5017,PO700042,11/12/2024,11/01/2026,12/07/2024,12,134,2584592,11,57552,10,16873,128100,23697,9602,2820416,Open,Pending,Yes,5,Underutilized
43,10014,30050,20128,40053,5037,PO700043,04/01/2024,04/08/2025,04/08/2025,0,72,1773864,6,36912,11,22203,131593,9010,1128,1974710,Closed,Completed,No,5,Optimal
44,10023,30027,20150,40039,5024,PO700044,12/10/2023,01/06/2024,01/06/2025,12,26,155012,8,42368,9,43992,101133,7585,8132,358222,Partial,Completed,Yes,8,Optimal
45,10004,30036,20082,40278,5018,PO700045,05/04/2025,06/10/2023,06/10/2024,12,155,2673440,1,8364,13,20637,43784,10969,20633,2777827,Open,Completed,Yes,21,Underutilized
46,10050,30062,20180,40434,5035,PO700046,02/09/2026,03/07/2025,03/05/2026,10,189,802305,8,41304,5,48458,38275,21273,21077,972692,Open,Completed,No,23,Optimal
47,10042,30065,20057,40126,5042,PO700047,07/08/2026,08/04/2025,08/08/2026,16,197,3184899,9,60201,19,45988,61997,20138,23304,3396527,Partial,Completed,Yes,0,Optimal
48,10015,30092,20061,40114,5031,PO700048,05/05/2024,06/05/2023,06/01/2025,20,97,2047670,2,16152,13,37603,135135,2663,20570,2259793,Open,Completed,No,8,Optimal
49,10016,30027,20020,40091,5024,PO700049,04/12/2024,05/09/2024,06/03/2024,25,22,28666,12,98940,17,7025,200056,22603,17235,374525,Open,Pending,No,2,Underutilized
50,10020,30062,20200,40486,5011,PO700050,08/05/2025,09/12/2023,10/05/2023,23,198,3191364,4,16484,8,31168,109184,17185,12535,3377920,Open,Pending,No,24,Optimal
51,10004,30028,20006,40383,5005,PO700051,09/11/2025,10/07/2024,10/03/2026,20,169,1020760,4,13900,3,10661,38475,11871,8321,1103988,Partial,Pending,Yes,0,Underutilized
52,10020,30034,20145,40086,5027,PO700052,03/04/2023,03/04/2024,03/07/2025,15,73,449388,11,36003,4,15266,57360,23141,16043,597201,Closed,Pending,No,14,Underutilized
53,10036,30071,20174,40478,5023,PO700053,02/12/2026,03/12/2026,03/03/2027,3,145,581740,4,23144,10,31994,44060,1573,9489,692000,Closed,Completed,No,8,Underutilized
54,10037,30002,20112,40276,5029,PO700054,08/03/2023,08/04/2025,09/03/2023,6,24,226128,10,49750,3,49987,15966,18172,8578,368581,Closed,Completed,No,3,Underutilized
55,10017,30014,20195,40101,5019,PO700055,08/01/2025,08/07/2025,09/03/2024,15,129,1720215,7,45129,1,1235,5606,17111,22334,1811630,Closed,Pending,No,23,Optimal
56,10019,30092,20051,40299,5035,PO700056,03/02/2024,03/09/2025,04/01/2024,11,101,666600,6,23742,4,1114,33712,11634,24600,761402,Closed,Pending,Yes,6,Optimal
57,10023,30049,20126,40302,5014,PO700057,07/12/2025,07/06/2026,08/10/2025,23,79,1273559,5,32085,12,26749,48768,13784,19306,1414251,Open,Pending,No,24,Underutilized
58,10029,30072,20028,40039,5045,PO700058,05/12/2026,06/06/2026,06/07/2026,1,76,476140,2,10592,2,19718,27690,21806,4879,560825,Open,Pending,No,16,Underutilized
59,10047,30011,20074,40098,5018,PO700059,07/02/2024,07/05/2024,08/10/2023,24,100,1770300,13,102063,14,42346,48650,14108,18158,1995625,Partial,Completed,Yes,1,Underutilized
60,10020,30033,20125,40254,5027,PO700060,04/06/2024,04/04/2025,05/05/2024,19,197,1491881,3,23877,10,4209,109550,19025,4171,1652713,Open,Pending,No,10,Underutilized
61,10016,30065,20174,40369,5008,PO700061,11/01/2023,11/04/2024,11/12/2024,8,194,778328,12,46584,9,43991,86895,8820,9857,974475,Closed,Pending,Yes,5,Optimal
62,10041,30088,20001,40353,5005,PO700062,03/06/2024,03/10/2024,03/04/2025,6,133,3034927,15,61680,16,15419,192272,15843,10906,3331047,Closed,Pending,Yes,17,Optimal
63,10050,30061,20080,40211,5017,PO700063,09/07/2023,09/05/2024,09/07/2024,2,49,184240,6,31224,18,21924,80856,8835,12068,339147,Closed,Completed,Yes,23,Underutilized
64,10048,30048,20178,40372,5005,PO700064,01/04/2026,02/02/2025,02/03/2026,13,195,301860,9,55467,7,18710,64218,12082,24645,476982,Open,Pending,No,18,Underutilized
65,10012,30065,20109,40365,5040,PO700065,05/09/2023,05/12/2024,06/02/2024,21,133,246183,9,39438,7,18761,31619,9141,12601,357743,Closed,Pending,No,9,Optimal
66,10047,30080,20037,40124,5046,PO700066,05/11/2023,05/06/2024,05/07/2024,1,113,236961,12,35640,16,33101,201920,1005,2396,511023,Closed,Pending,No,7,Optimal
67,10049,30027,20160,40494,5015,PO700067,08/06/2024,09/02/2024,09/06/2024,4,43,360770,9,82791,4,46940,59296,22212,14985,586994,Open,Completed,Yes,4,Optimal
68,10004,30096,20104,40398,5019,PO700068,08/06/2024,08/03/2026,08/04/2026,1,170,2333080,12,50052,10,42056,50960,9250,17309,2502707,Partial,Pending,Yes,3,Optimal
69,10004,30004,20101,40347,5029,PO700069,11/04/2023,11/07/2023,11/11/2024,16,154,403942,4,31776,13,15652,94562,26902,19695,592529,Open,Completed,No,14,Underutilized
70,10047,30071,20019,40098,5020,PO700070,09/08/2025,10/06/2025,10/04/2026,10,170,1039210,14,109914,8,35490,86296,8692,17924,1297526,Open,Completed,No,22,Underutilized
71,10005,30049,20190,40439,5009,PO700071,02/02/2025,03/04/2023,03/04/2023,0,54,1343466,8,34632,14,17859,60592,8465,21867,1486881,Closed,Pending,Yes,15,Optimal
72,10023,30051,20197,40126,5003,PO700072,12/01/2025,01/08/2025,01/06/2026,10,188,288392,7,46823,12,26975,170196,7490,221,540097,Closed,Completed,Yes,15,Optimal
73,10025,30058,20149,40067,5046,PO700073,11/04/2024,12/10/2023,01/03/2024,24,54,596538,4,24136,15,18368,99420,25919,9664,774045,Open,Pending,Yes,7,Underutilized
74,10017,30052,20095,40343,5020,PO700074,03/03/2024,03/08/2025,04/10/2024,21,19,97755,10,34540,5,4562,47230,7977,774,192838,Partial,Completed,No,1,Optimal
75,10015,30023,20044,40105,5009,PO700075,07/08/2023,08/02/2023,08/02/2024,12,120,690120,15,122490,11,6201,53394,6427,10788,889420,Open,Completed,No,1,Underutilized
76,10004,30022,20158,40386,5004,PO700076,11/11/2024,12/08/2024,12/07/2026,23,101,2386933,14,123242,12,29995,101208,6546,3570,2651494,Open,Completed,No,2,Underutilized
77,10046,30010,20197,40235,5009,PO700077,03/06/2024,03/07/2025,03/10/2025,3,148,227032,13,80340,7,24372,64596,26189,10115,432644,Closed,Completed,Yes,22,Underutilized
78,10018,30043,20107,40025,5020,PO700078,07/08/2024,07/06/2025,08/10/2023,11,143,405262,15,40875,15,22188,92430,12935,24160,597850,Closed,Completed,No,7,Underutilized
79,10001,30014,20080,40344,5013,PO700079,02/11/2023,02/05/2024,03/01/2023,12,13,48880,8,18432,3,17843,12045,7387,24487,129074,Open,Pending,No,8,Underutilized
80,10044,30093,20192,40388,5013,PO700080,09/07/2025,09/02/2026,10/03/2025,19,16,36800,5,40295,11,20490,82665,1123,23644,205017,Partial,Completed,Yes,7,Optimal
81,10031,30001,20076,40261,5043,PO700081,05/01/2024,05/02/2025,06/05/2024,22,124,2270440,13,99736,13,29176,92469,27699,16170,2535690,Open,Pending,Yes,0,Underutilized
82,10038,30078,20192,40396,5045,PO700082,04/10/2026,04/06/2027,05/10/2026,22,43,98900,10,99830,8,21941,66960,16098,11857,315586,Partial,Completed,Yes,12,Optimal
83,10048,30021,20078,40252,5001,PO700083,09/11/2023,09/03/2025,10/10/2023,13,21,347193,11,95282,2,37214,21784,18845,10674,530992,Open,Pending,Yes,2,Underutilized
84,10003,30041,20056,40391,5015,PO700084,10/01/2024,10/09/2025,10/11/2025,2,58,159500,2,4954,14,47515,156338,15646,5675,389628,Open,Completed,No,14,Optimal
85,10038,30054,20062,40450,5046,PO700085,02/04/2025,02/11/2025,02/04/2027,17,175,2939825,13,117819,4,20253,31260,10155,18575,3137887,Closed,Pending,No,23,Underutilized
86,10044,30093,20197,40111,5008,PO700086,07/11/2024,07/06/2025,08/01/2024,14,68,104312,3,25410,8,11048,54864,10219,18949,224802,Open,Pending,Yes,12,Underutilized
87,10049,30043,20162,40192,5045,PO700087,09/09/2023,09/07/2024,10/05/2023,16,139,284811,4,32572,4,31403,54816,2213,3353,409168,Open,Pending,Yes,14,Underutilized
88,10027,30068,20185,40414,5020,PO700088,02/11/2023,03/11/2023,03/08/2024,9,64,1276672,2,5002,2,40353,12210,28129,19110,1381476,Open,Completed,No,16,Optimal
89,10021,30020,20112,40324,5018,PO700089,04/04/2024,04/01/2025,05/02/2024,19,71,668962,13,47515,1,42776,4733,20534,23255,807775,Partial,Pending,Yes,1,Underutilized
90,10033,30005,20007,40135,5046,PO700090,12/03/2024,12/08/2024,12/12/2024,4,16,219072,4,31652,9,40283,32634,24993,21353,369987,Open,Completed,No,13,Underutilized
91,10043,30077,20021,40079,5003,PO700091,07/09/2023,08/05/2023,08/12/2024,19,84,96432,2,5712,7,33481,24605,18958,15843,195031,Open,Pending,Yes,12,Optimal
92,10030,30076,20034,40319,5007,PO700092,10/04/2025,10/06/2026,11/04/2025,17,28,670124,11,30415,6,46574,57102,9885,13427,827527,Closed,Pending,No,1,Underutilized
93,10050,30053,20153,40230,5007,PO700093,02/02/2025,02/05/2026,03/07/2025,18,96,2052288,7,52430,14,24840,46172,22118,6461,2204309,Closed,Pending,Yes,0,Underutilized
94,10050,30026,20132,40256,5025,PO700094,07/12/2025,07/02/2027,07/07/2027,5,113,960726,2,4310,3,38866,28965,29928,11951,1074746,Closed,Completed,Yes,0,Optimal
95,10002,30019,20136,40006,5040,PO700095,07/06/2025,08/11/2024,08/03/2025,4,169,1807117,13,45708,13,38543,57954,21388,12151,1982861,Partial,Completed,Yes,11,Underutilized
96,10008,30097,20133,40188,5012,PO700096,06/03/2024,06/03/2025,07/01/2024,16,48,85008,15,82230,3,26148,14346,17073,24692,249497,Open,Pending,Yes,1,Underutilized
97,10023,30004,20137,40122,5033,PO700097,11/07/2024,11/10/2024,11/11/2024,1,160,3998560,15,117315,13,47681,57369,21327,22551,4264803,Open,Completed,No,19,Optimal
98,10027,30033,20077,40123,5044,PO700098,04/05/2027,05/09/2025,05/12/2026,15,51,891990,10,22020,7,27197,25781,17970,5127,990085,Closed,Pending,Yes,4,Optimal
99,10036,30039,20041,40032,5021,PO700099,09/08/2026,09/05/2027,10/10/2026,23,54,61398,1,7501,18,3498,252252,22885,10623,358157,Open,Pending,No,17,Underutilized
100,10025,30032,20014,40254,5046,PO700100,10/02/2026,10/07/2026,11/01/2025,13,83,1600904,10,79590,8,26507,79800,22588,12040,1821429,Closed,Pending,Yes,0,Optimal
101,10029,30041,20056,40291,5007,PO700101,09/01/2026,10/03/2025,10/06/2026,15,124,341000,4,20824,15,31034,197010,28411,5884,624163,Closed,Pending,Yes,2,Optimal
102,10043,30050,20126,40162,5012,PO700102,01/03/2024,01/10/2025,02/04/2024,13,98,1579858,2,8134,15,34433,168945,22531,1335,1815236,Open,Completed,Yes,23,Underutilized
103,10009,30015,20030,40048,5022,PO700103,03/07/2025,04/02/2025,04/01/2027,23,135,1008585,2,16444,2,25763,22512,22389,4462,1100155,Open,Completed,Yes,6,Optimal
104,10026,30014,20047,40372,5031,PO700104,06/01/2027,07/01/2025,07/04/2026,15,78,606606,13,80119,6,48256,85446,8245,2146,830818,Closed,Pending,Yes,10,Underutilized
105,10007,30059,20067,40177,5022,PO700105,07/03/2026,08/02/2026,08/04/2027,14,41,167198,5,43970,17,14652,184722,20394,8613,439549,Partial,Completed,No,11,Optimal
106,10022,30022,20087,40424,5028,PO700106,07/11/2024,08/07/2024,08/12/2024,5,108,2648484,3,18768,9,22484,127215,13348,5529,2835828,Closed,Completed,Yes,20,Underutilized
107,10017,30096,20100,40074,5017,PO700107,09/04/2026,10/07/2025,10/09/2026,14,147,1568784,9,34272,19,7855,271396,9258,17553,1909118,Partial,Pending,No,8,Underutilized
108,10003,30083,20134,40491,5031,PO700108,01/01/2025,02/07/2024,02/01/2026,18,42,538650,6,14772,11,29985,47663,8538,5791,645399,Partial,Completed,No,16,Underutilized
109,10049,30009,20157,40305,5022,PO700109,11/02/2024,12/04/2023,12/12/2024,20,154,1199044,15,82410,11,49963,33319,2107,7262,1374105,Open,Pending,No,13,Underutilized
110,10018,30004,20019,40175,5032,PO700110,07/06/2025,07/09/2025,07/10/2025,1,38,232294,8,61928,8,43802,104280,2493,730,445527,Open,Completed,No,9,Optimal
111,10039,30093,20132,40299,5029,PO700111,06/07/2025,06/02/2026,07/07/2024,11,141,1198782,4,15828,14,20736,175854,20303,4381,1435884,Open,Pending,No,5,Optimal
112,10047,30076,20106,40041,5047,PO700112,01/03/2024,01/05/2025,02/11/2024,25,67,596501,12,70644,5,7278,51930,3086,20912,750351,Open,Pending,No,8,Optimal
113,10012,30099,20066,40463,5039,PO700113,02/03/2025,03/07/2024,04/08/2023,20,148,1917044,15,149055,12,43310,152916,19955,14540,2296820,Partial,Pending,Yes,5,Optimal
114,10031,30073,20141,40180,5015,PO700114,02/03/2024,03/04/2024,03/05/2024,1,141,1127295,1,7982,13,16575,78533,6217,1912,1238514,Open,Completed,Yes,4,Underutilized
115,10040,30021,20052,40336,5023,PO700115,07/12/2024,08/09/2023,08/01/2025,16,160,3719680,11,73491,17,43045,231370,14606,20092,4102284,Open,Pending,Yes,9,Optimal
116,10006,30008,20091,40481,5019,PO700116,06/05/2027,07/10/2026,08/02/2026,23,127,2607310,12,85140,18,25586,55872,28670,14308,2816886,Partial,Pending,Yes,23,Underutilized
117,10033,30008,20121,40079,5039,PO700117,06/05/2025,07/10/2024,07/05/2025,7,31,477896,5,14280,8,3543,108408,5039,10994,620160,Partial,Pending,Yes,8,Underutilized
118,10001,30006,20168,40414,5005,PO700118,12/03/2024,12/02/2026,01/08/2026,25,138,1391868,5,12505,10,15221,135180,3799,16627,1575200,Open,Completed,No,7,Optimal
119,10023,30046,20196,40432,5047,PO700119,08/01/2027,09/06/2026,09/11/2026,5,196,310268,15,137670,11,26474,67584,11766,19701,573463,Open,Pending,No,15,Optimal
120,10040,30097,20111,40165,5011,PO700120,05/04/2027,06/09/2025,06/09/2025,0,116,273296,12,43572,8,21168,98752,26860,6945,470593,Closed,Completed,Yes,4,Optimal
121,10047,30048,20037,40146,5050,PO700121,01/04/2025,02/02/2024,02/05/2024,3,32,67104,10,32900,6,10295,51900,23961,941,187101,Open,Completed,Yes,22,Optimal
122,10047,30087,20069,40062,5005,PO700122,12/02/2025,12/08/2025,12/10/2025,2,193,4304865,1,9322,3,24816,38022,7531,17494,4402050,Partial,Completed,No,3,Optimal
123,10027,30019,20056,40477,5016,PO700123,07/06/2025,08/11/2024,08/05/2025,6,33,90750,1,7107,2,6732,26780,28035,24622,184026,Partial,Pending,No,3,Optimal
124,10028,30060,20155,40158,5027,PO700124,04/11/2023,04/02/2024,05/09/2023,25,198,2762694,11,93544,7,21915,54768,12026,13885,2958832,Closed,Completed,No,8,Underutilized
125,10020,30089,20057,40309,5035,PO700125,02/07/2024,02/04/2025,03/10/2024,22,199,3217233,6,34848,11,34012,141493,16600,9425,3453611,Partial,Completed,No,0,Underutilized
126,10049,30090,20046,40221,5003,PO700126,06/03/2025,06/01/2026,07/07/2025,24,30,263580,6,42378,16,4153,232720,18625,18549,580005,Open,Completed,No,5,Underutilized
127,10043,30023,20153,40106,5007,PO700127,01/02/2023,01/03/2025,02/12/2023,16,56,1197168,5,25445,2,23793,6142,17083,3135,1272766,Closed,Completed,No,18,Underutilized
128,10007,30016,20185,40474,5040,PO700128,09/07/2025,10/02/2025,10/06/2026,16,71,1416308,10,91780,6,15071,45888,23920,7586,1600553,Closed,Completed,Yes,20,Optimal
129,10021,30073,20130,40001,5025,PO700129,05/05/2025,06/03/2025,07/10/2024,25,183,3409839,9,70758,4,22406,53152,12652,3117,3571924,Closed,Pending,Yes,13,Optimal
130,10009,30020,20070,40408,5037,PO700130,01/04/2025,01/01/2026,01/07/2026,6,82,1752996,5,41875,14,33845,166992,6606,12429,2014743,Partial,Completed,No,4,Optimal
131,10047,30057,20052,40140,5022,PO700131,12/11/2024,01/09/2025,02/08/2024,18,88,2045824,9,19809,5,44391,51885,19144,24313,2205366,Closed,Completed,No,14,Underutilized
132,10024,30016,20065,40120,5023,PO700132,08/04/2025,09/10/2024,09/05/2025,7,37,212010,6,17892,15,46650,202950,8796,16636,504934,Open,Pending,No,24,Optimal
133,10036,30052,20150,40422,5029,PO700133,01/10/2025,01/03/2027,01/07/2027,4,68,405416,12,103740,11,35221,141647,12423,5273,703720,Open,Pending,Yes,8,Optimal
134,10015,30066,20165,40143,5020,PO700134,06/06/2024,06/10/2024,07/01/2024,21,31,577933,4,23492,13,10720,71149,27046,9899,720239,Partial,Pending,No,8,Optimal
135,10019,30033,20016,40404,5028,PO700135,04/10/2024,05/02/2023,05/10/2024,20,32,378528,5,43805,7,31403,65534,2111,413,521794,Closed,Pending,Yes,16,Underutilized
136,10026,30004,20190,40061,5017,PO700136,04/07/2025,04/10/2025,04/10/2025,0,41,1020039,5,47525,20,1361,192600,25279,7939,1294743,Closed,Pending,Yes,21,Optimal
137,10001,30088,20196,40403,5026,PO700137,11/02/2026,11/06/2026,12/05/2024,5,169,267527,2,6014,15,21513,151290,9513,20587,476444,Partial,Completed,No,7,Underutilized
138,10006,30006,20124,40213,5021,PO700138,12/07/2026,01/11/2026,02/02/2026,22,166,2635084,3,29721,9,32637,89451,15915,644,2803452,Partial,Pending,Yes,20,Underutilized
139,10008,30046,20062,40176,5046,PO700139,03/07/2025,03/07/2027,03/07/2027,0,104,1747096,14,82166,16,3499,75872,9232,17804,1935669,Open,Completed,Yes,16,Underutilized
140,10046,30065,20084,40371,5025,PO700140,04/02/2024,04/05/2025,05/05/2024,18,121,131648,9,65061,7,32177,103264,17783,527,350460,Partial,Pending,No,13,Underutilized
141,10031,30098,20003,40112,5003,PO700141,08/04/2023,08/01/2024,09/03/2023,21,52,476060,7,31402,17,48782,85085,21119,11648,674096,Partial,Completed,No,8,Underutilized
142,10026,30020,20121,40165,5011,PO700142,02/02/2025,02/11/2025,02/12/2025,1,8,123328,2,7262,14,42193,138460,23880,22114,357237,Closed,Pending,Yes,7,Underutilized
143,10040,30047,20141,40314,5037,PO700143,01/05/2027,02/05/2025,02/05/2026,12,139,1111305,4,28916,13,14894,137423,6391,4236,1303165,Open,Completed,No,20,Optimal
144,10032,30024,20141,40442,5015,PO700144,04/02/2026,05/10/2025,05/02/2026,4,95,759525,11,36740,14,20290,149366,25900,17965,1009786,Partial,Completed,No,11,Optimal
145,10007,30062,20111,40212,5031,PO700145,10/01/2023,10/03/2024,11/06/2023,22,101,237956,11,47025,9,45487,89829,7091,15780,443168,Open,Pending,No,7,Underutilized
146,10016,30040,20099,40156,5013,PO700146,11/01/2025,12/12/2024,01/08/2024,15,129,2736993,7,50575,20,6598,268820,22602,11876,3097464,Open,Pending,No,1,Optimal
147,10002,30018,20194,40157,5003,PO700147,04/03/2027,05/03/2025,05/09/2026,18,88,1197680,13,129090,5,23619,58470,21747,19085,1449691,Open,Completed,Yes,2,Underutilized
148,10044,30010,20117,40144,5021,PO700148,09/02/2024,09/03/2025,10/04/2024,19,30,73830,10,73420,5,13167,34135,26437,14809,235798,Closed,Completed,Yes,12,Optimal
149,10008,30092,20104,40311,5033,PO700149,09/04/2025,10/05/2024,10/03/2026,22,160,2195840,13,126113,3,36946,41856,26823,20859,2448437,Closed,Completed,No,22,Optimal
150,10025,30041,20039,40315,5049,PO700150,06/03/2026,07/05/2025,07/07/2025,2,194,2089962,14,30044,15,8666,209955,19188,3880,2361695,Closed,Pending,Yes,4,Underutilized
